"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-03-01,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-02,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-03,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-04,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-05,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-06,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-07,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-08,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-09,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-10,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-11,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-13,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-14,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-15,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-16,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-17,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-18,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-19,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-20,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-21,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-22,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-23,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-24,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-25,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-26,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-27,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-28,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-29,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-30,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-31,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-01,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-02,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-03,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-04,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-05,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-06,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-07,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-08,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-09,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-10,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
